"-","AA","description","-"
"-","AA","code and description","-"
"-","AA","CBMS","appropriation item unallocated"
"001","AA","description","Ordinary Annual Services of the Government"
"001","AA","code and description","001 - Ordinary Annual Services of the Government"
"00001","AA","description","Appropriation Act (No. 1)"
"00001","AA","code and description","00001 - Appropriation Act (No. 1)"
"A001-00001-05000","AA","description","Ordinary Annual Services of the Government - Appropriation Act (No. 1) - Operating"
"A001-00001-05000","AA","code and description","A001-00001-05000 - Ordinary Annual Services of the Government - Appropriation Act (No. 1) - Operating"
"A001-00001-05001","AA","description","Appropriation Act (No. 1) - Departmental Capital Budget"
"A001-00001-05001","AA","code and description","A001-00001-05001 - Appropriation Act (No. 1) - Departmental Capital Budget"
"00002","AA","description","Appropriation Act (No. 3)"
"00002","AA","code and description","00002 - Appropriation Act (No. 3)"
"A001-00002-05000","AA","description","Ordinary Annual Services of the Government - Appropriation Act (No. 3) - Operating"
"A001-00002-05000","AA","code and description","A001-00002-05000 - Ordinary Annual Services of the Government - Appropriation Act (No. 3) - Operating"
"A001-00002-05001","AA","description","Appropriation Act (No. 3) - Departmental Capital Budget"
"A001-00002-05001","AA","code and description","A001-00002-05001 - Appropriation Act (No. 3) - Departmental Capital Budget"
"00003","AA","description","Appropriation Act (No. 5)"
"00003","AA","code and description","00003 - Appropriation Act (No. 5)"
"A001-00003-05000","AA","description","Appropriation Act (No. 5) - Operating"
"A001-00003-05000","AA","code and description","A001-00003-05000 - Appropriation Act (No. 5) - Operating"
"A001-00003-05001","AA","description","Appropriation Act (No. 5) - Departmental Capital Budget"
"A001-00003-05001","AA","code and description","A001-00003-05001 - Appropriation Act (No. 5) - Departmental Capital Budget"
"00004","AA","description","Appropriation Act (No. 7)"
"00004","AA","code and description","00004 - Appropriation Act (No. 7)"
"A001-00004-05000","AA","description","Appropriation Act (No. 7) - Operating"
"A001-00004-05000","AA","code and description","A001-00004-05000 - Appropriation Act (No. 7) - Operating"
"A001-00004-05001","AA","description","Appropriation Act (No. 7) - Departmental Capital Budget"
"A001-00004-05001","AA","code and description","A001-00004-05001 - Appropriation Act (No. 7) - Departmental Capital Budget"
"00016","AA","description","Supply Act (No. 1)"
"00016","AA","code and description","00016 - Supply Act (No. 1)"
"A001-00016-05000","AA","description","Ordinary Annual Services of the Government - Supply Act (No. 1) - Operating"
"A001-00016-05000","AA","code and description","A001-00016-05000 - Ordinary Annual Services of the Government - Supply Act (No. 1) - Operating"
"A001-00016-05001","AA","description","Supply Act (No. 1) - Departmental Capital Budget"
"A001-00016-05001","AA","code and description","A001-00016-05001 - Supply Act (No. 1) - Departmental Capital Budget"
"00026","AA","description","Supply Act (No. 3)"
"00026","AA","code and description","00026 - Supply Act (No. 3)"
"A001-00026-05000","AA","description","Ordinary Annual Services of the Government - Supply Act (No. 3) - Operating"
"A001-00026-05000","AA","code and description","A001-00026-05000 - Ordinary Annual Services of the Government - Supply Act (No. 3) - Operating"
"A001-00026-05001","AA","description","Ordinary Annual Services of the Government - Supply Act (No. 3) - Departmental Capital Budget (DCB)"
"A001-00026-05001","AA","code and description","A001-00026-05001 - Ordinary Annual Services of the Government - Supply Act (No. 3) - Departmental Capital Budget (DCB)"
"002","AA","description","Other than Ordinary Annual Services of the Government"
"002","AA","code and description","002 - Other than Ordinary Annual Services of the Government"
"00005","AA","description","Appropriation Act (No. 2)"
"00005","AA","code and description","00005 - Appropriation Act (No. 2)"
"A002-00005-05002","AA","description","Appropriation Act (No. 2) - SPP"
"A002-00005-05002","AA","code and description","A002-00005-05002 - Appropriation Act (No. 2) - SPP"
"A002-00005-05003","AA","description","Appropriation Act (No. 2) - New Administered Outcomes"
"A002-00005-05003","AA","code and description","A002-00005-05003 - Appropriation Act (No. 2) - New Administered Outcomes"
"A002-00005-05004","AA","description","Appropriation Act (No. 2) - Equity Injections"
"A002-00005-05004","AA","code and description","A002-00005-05004 - Appropriation Act (No. 2) - Equity Injections"
"A002-00005-05005","AA","description","Other than Ordinary Annual Services of the Government - Appropriation Act (No. 2) - Administered Assets and Liabilities"
"A002-00005-05005","AA","code and description","A002-00005-05005 - Other than Ordinary Annual Services of the Government - Appropriation Act (No. 2) - Administered Assets and Liabilities"
"A002-00005-05007","AA","description","Appropriation Act (No. 2) - Loan"
"A002-00005-05007","AA","code and description","A002-00005-05007 - Appropriation Act (No. 2) - Loan"
"00006","AA","description","Appropriation Act (No. 4)"
"00006","AA","code and description","00006 - Appropriation Act (No. 4)"
"A002-00006-05002","AA","description","Appropriation Act (No. 4) - SPP"
"A002-00006-05002","AA","code and description","A002-00006-05002 - Appropriation Act (No. 4) - SPP"
